Ngay,mucNuocHN,nuocVeHoaBinh,chayMayHoaBinh,nuocVeTuyenQuang,chayMayTuyenQuan,nuocVeThacBa,chayMayThacBa
01/01/2008,120,498.815,259.499,0,0,23.23,90.2
02/01/2008,117,470.866,518.755,0,0,26.239,213.791
03/01/2008,139,423.816,615.242,0,0,24,175
04/01/2008,166,496.882,902.982,0,0,11,164
05/01/2008,179,501.232,1072.97,0,0,24,177
06/01/2008,199,346.358,393.919,0,0,5,65
07/01/2008,190,421.766,1109.965,0,0,18,154
08/01/2008,178,423.221,1037.933,0,0,26.152,187.601
09/01/2008,200,538.175,1033.09,0,0,24.047,161.976
10/01/2008,212,137.713,771.954,0,0,16.7,161.3
11/01/2008,203,447.116,892.031,0,0,5,148.652
12/01/2008,191,289.573,710.003,0,0,19,169
13/01/2008,190,313.485,336.812,0,0,33.993,79.408
14/01/2008,168,364.443,830.304,0,0,14,136
15/01/2008,153,390.697,808.875,0,0,22.78,170
16/01/2008,160,198.189,800.389,0,0,1.5,171
17/01/2008,166,267.896,729.651,0,0,16,185
18/01/2008,187,362.42,753.902,0,0,38,228.6
19/01/2008,234,412.973,941.15,0,0,62.6,230.1
20/01/2008,258,227.192,867.899,0,0,38.5,294.4
21/01/2008,271,347.71,985.902,0,0,7.4,268
22/01/2008,262,459.645,1004.665,0,0,24,230
23/01/2008,248,363.082,928.846,0,0,27,234
24/01/2008,238,317.479,723.588,0,0,9,193
25/01/2008,222,544.257,769.424,0,0,188,188.051
26/01/2008,224,303.122,617.816,0,0,19,201
27/01/2008,241,342.401,364.855,0,0,50.3,104.2
28/01/2008,217,313.641,560.424,0,0,38.5,134
29/01/2008,164,299.841,479.076,0,0,28,166
30/01/2008,137,685.273,707.663,0,0,27.8,249.6
31/01/2008,147,475.991,610.264,0,0,91,123
01/02/2008,178,547.547,525.176,0,0,101.066,80.036
02/02/2008,208,708.725,507.244,0,0,180,199
03/02/2008,232,630.428,518.382,0,250,3,263
04/02/2008,267,568.051,388.611,55.869,250,39,215
05/02/2008,270,554.605,307.54,49.074,170.171,45.631,169.605
06/02/2008,231,675.133,585.194,0,0,26.9,140
07/02/2008,203,297,454.358,0,0,56.9,46.9
08/02/2008,185,491.429,379.046,0,0,58,89
09/02/2008,151,326.544,259.076,0,0,47,57.7
10/02/2008,135,384.519,136.889,0,0,45,35
11/02/2008,117,392.66,144.642,0,0,51.4,61.9
12/02/2008,86,418.524,350.815,0,0,15,127
13/02/2008,91,338.873,316.297,0,0,52,147
14/02/2008,114,399.356,331.609,0,0,20.3,50.3
15/02/2008,127,448.437,403.257,0,0,66.7,178
16/02/2008,141,343.232,410.998,0,0,22.2,153.1
17/02/2008,149,404.1,268.538,0,0,10.7,101
18/02/2008,141,306.378,577.387,0,0,20.2,190
19/02/2008,144,435.328,795.954,0,0,33,242
20/02/2008,173,331.319,758.495,0,0,38,186
21/02/2008,195,256.403,570.424,0,0,59.5,187.1
22/02/2008,186,442.417,755.809,0,0,8,96
23/02/2008,166,294.173,629.252,0,0,369,85
24/02/2008,154,317.468,429.001,0,0,56.5,85.5
25/02/2008,142,375.746,798.838,0,0,36.205,94.844
26/02/2008,143,386.679,764.254,0,0,57,85.9
27/02/2008,168,386.321,961.995,0,0,7.823,105.204
28/02/2008,233,330.372,1057.911,0,0,27,171
29/02/2008,264,202.219,487.866,0,0,39.8,164
01/03/2008,232,416.222,482.063,0,0,58,86
02/03/2008,193,391.715,413.655,0,0,15,60
03/03/2008,195,288.221,441.716,0,0,7.8,150.6
04/03/2008,212,357.034,619.804,0,0,4.936,195.55
05/03/2008,227,362.501,668.481,0,0,14.594,166.243
06/03/2008,219,422,790,0,0,18,141
07/03/2008,192,433.979,825.824,0,0,44,34
08/03/2008,172,321.979,474.082,0,0,70,23
09/03/2008,150,438.798,243.208,0,0,52,23
10/03/2008,117,497.374,692.964,0,0,23,70
11/03/2008,113,344.556,713.294,0,0,39,86
12/03/2008,146,264.642,783.636,0,0,29,75
13/03/2008,166,334.568,873.221,0,0,45.5,91.4
14/03/2008,171,271.211,807.859,0,0,13.2,170
15/03/2008,186,374.684,1058.667,0,0,36,284
16/03/2008,202,198.163,687.747,0,0,41.936,280.541
17/03/2008,217,385.039,745.815,0,0,34,169
18/03/2008,215,253.467,422.923,0,0,16,82
19/03/2008,199,333.078,692.49,0,0,75,65
20/03/2008,177,153.069,574.72,275.915,224.529,17,133
21/03/2008,181,203.036,581.424,0,0,63.2,71.1
22/03/2008,176,213.501,381.34,0,0,208.9,36.8
23/03/2008,160,212.293,296.136,0,0,145.572,0
24/03/2008,147,240.221,365.888,0,0,210,20
25/03/2008,160,201.411,535.959,0,0,86,3
26/03/2008,164,265.769,578.662,69.282,211.619,37.1,41.8
27/03/2008,165,87.727,420.684,71.131,206.382,54,98
28/03/2008,165,333.189,416.3,66.869,213.415,38.8,67.972
29/03/2008,154,332.765,374.301,0,0,53,43
30/03/2008,153,338.018,192.585,66.121,210.754,46.3,0
31/03/2008,143,491.083,470.294,80.006,211.669,52.5,78.8
01/04/2008,141,314.617,522.362,0,0,53,43
02/04/2008,152,313.888,500.584,112.464,230.527,82,54
03/04/2008,161,533.341,657.661,101.521,230.552,60,104
04/04/2008,166,442.176,649.12,128.694,227.8,72,99
05/04/2008,181,402.852,650.76,66.697,228.788,54.7,98.9
06/04/2008,185,301.584,404.742,21,315.055,54.467,0
07/04/2008,172,471.029,965.075,82.704,236.584,54.572,0
